City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Cayenne,GF,2021-09-27 17:54:13,4.9333,-52.3333,91.44,73,20,1.99
251,Houma,US,2021-09-27 17:58:06,29.5958,-90.7195,86.0,77,52,8.7
252,Umm Lajj,SA,2021-09-27 17:57:03,25.0213,37.2685,83.89,61,1,9.31
253,Derzhavinsk,KZ,2021-09-27 17:58:07,51.1,66.3167,49.5,47,54,7.9
254,Yulara,AU,2021-09-27 17:58:07,-25.2406,130.9889,66.04,26,6,5.75
255,Buchanan,LR,2021-09-27 17:57:33,5.8808,-10.0467,80.56,90,100,6.67
256,Mareeba,AU,2021-09-27 17:58:08,-17.0,145.4333,67.44,93,61,2.68
257,Mancio Lima,BR,2021-09-27 17:58:08,-7.6142,-72.8958,91.47,55,40,3.44
258,Saint-Augustin,CA,2021-09-27 17:56:00,51.226,-58.6502,58.06,90,100,8.9
259,Klaksvik,FO,2021-09-27 17:58:09,62.2266,-6.589,49.12,89,100,13.91
260,Umtata,ZA,2021-09-27 17:56:22,-31.5889,28.7844,61.36,72,40,8.05
261,Linhares,BR,2021-09-27 17:58:09,-19.3911,-40.0722,82.17,54,92,9.6
262,Grand Gaube,MU,2021-09-27 17:58:10,-20.0064,57.6608,72.37,71,3,8.99
263,Avera,US,2021-09-27 17:58:10,33.194,-82.5271,82.45,43,0,3.31
264,Inhambane,MZ,2021-09-27 17:58:10,-23.865,35.3833,75.18,60,20,7.0
265,Iqaluit,CA,2021-09-27 17:58:11,63.7506,-68.5145,37.13,69,75,11.01
266,Port Hedland,AU,2021-09-27 17:58:04,-20.3167,118.5667,62.65,94,38,6.91
267,Nisko,PL,2021-09-27 17:58:11,50.5199,22.1397,59.52,77,24,5.01
268,Sitka,US,2021-09-27 17:54:54,57.0531,-135.33,48.16,92,100,3.58
269,Victoria Point,AU,2021-09-27 17:58:11,-27.5833,153.3,64.36,77,100,7.4
270,Udachnyy,RU,2021-09-27 17:58:12,66.4167,112.4,33.03,94,100,13.42
271,Waltershausen,DE,2021-09-27 17:58:12,50.9,10.5667,65.23,80,99,8.66
272,Chardara,KZ,2021-09-27 17:58:12,41.2547,67.9692,63.14,45,0,9.15
273,Zalari,RU,2021-09-27 17:58:13,53.5584,102.5065,31.51,86,20,8.66
274,Tukrah,LY,2021-09-27 17:58:13,32.5341,20.5791,75.22,68,24,9.66
275,Susangerd,IR,2021-09-27 17:58:13,31.5608,48.1831,89.62,13,0,9.82
